,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Symphyotrichum cordifolium, blue wood aster , Herbaceous perennial, Asteraceae, Eastern and central North America, 3 to 8, 2.00 to 5.00 feet, 1.50 to 2.00 feet, August to September, Pale blue to rich blue with yellow centers, Full sun to part shade, Dry to medium, Low, Naturalize, Showy,,,, Butterflies,,
Symphyotrichum drummondii, Drummond aster , Herbaceous perennial, Asteraceae, Eastern United States, 5 to 8, 3.00 to 4.00 feet, 2.00 to 3.00 feet, August to October, Lavender rays and yellow center disks, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Drought, Dry Soil",,, Butterflies,,
Symphyotrichum ericoides, heath aster , Herbaceous perennial, Asteraceae," Central and eastern United States, Canada", 3 to 10, 1.00 to 3.00 feet, 1.00 to 1.50 feet, August to October, White with yellow centers, Full sun, Dry to medium, Low,, Showy," Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Symphyotrichum laeve, smooth aster , Herbaceous perennial, Asteraceae, North American, 3 to 8, 2.00 to 4.00 feet, 1.00 to 2.00 feet, September to October, Violet to purple rays and yellow centers, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Symphyotrichum lateriflorum, white woodland aster , Herbaceous perennial, Asteraceae, North America, 4 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, September to October, White with reddish-purple centers, Full sun to part shade, Medium, Low,, Showy,,,, Butterflies,,
Symphyotrichum novae-angliae, New England aster , Herbaceous perennial, Asteraceae, Eastern North America, 4 to 8, 3.00 to 6.00 feet, 2.00 to 3.00 feet, August to September, Deep pink-purple, Full sun, Medium, Medium," Naturalize, Rain Garden"," Showy, Good Cut", Clay Soil,,, Butterflies,,
Symphyotrichum oblongifolium, aromatic aster , Herbaceous perennial, Asteraceae, Northeastern and central United States, 3 to 8, 1.00 to 3.00 feet, 1.00 to 3.00 feet, August to September," Blue, purple", Full sun, Dry to medium, Medium, Ground Cover, Showy," Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",, Fragrant," Birds, Butterflies",,
Symphyotrichum oolentangiense, skyblue aster , Herbaceous perennial, Asteraceae, Eastern North America, 3 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, September to October, Blue rays with yellow center disks, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Symphyotrichum patens, spreading aster , Herbaceous perennial, Asteraceae, Southeastern United States, 4 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, August to October, Blue to violet rays with yellow centers, Full sun to part shade, Dry to medium, Low,, Showy," Drought, Dry Soil",,, Butterflies,,
Symphyotrichum pilosum, hairy aster , Herbaceous perennial, Asteraceae, North America, 4 to 8, 2.00 to 4.00 feet, 2.00 to 4.00 feet, August to October, White rays and pale yellow center discs, Full sun to part shade, Medium, Low, Naturalize, Showy,,,, Butterflies,,
Symphyotrichum praealtum, aster , Herbaceous perennial, Asteraceae, Southeastern to central and southwestern United States, 4 to 8, 2.00 to 5.00 feet, 1.50 to 4.00 feet, August to October, Lavender rays and yellow centers, Full sun to part shade, Medium to wet, Low, Rain Garden, Showy, Wet Soil,,, Butterflies,,
Symphyotrichum puniceum, swamp aster , Herbaceous perennial, Asteraceae, Eastern North America, 2 to 9, 6.00 to 8.00 feet, 2.00 to 3.00 feet, August to September, Violet-blue to purple with yellow centers, Full sun, Medium to wet, Low," Naturalize, Rain Garden"," Showy, Good Cut", Wet Soil,,, Butterflies,,
Taenidia integerrima, yellow pimpernel , Herbaceous perennial, Apiaceae, Central and eastern North America, 4 to 8, 2.00 to 3.00 feet, 1.50 to 2.50 feet, May to July, Yellow, Full sun to part shade, Dry to medium, Medium,, Showy,,,, Butterflies,,
Tephrosia virginiana, goat's rue , Herbaceous perennial, Fabaceae, Eastern North America, 3 to 9, 1.00 to 2.00 feet, 0.75 to 1.50 feet, May to August, Pale yellow standard with rose-pink wings and keel, Full sun, Dry to medium, Low,, Showy, Dry Soil,,, Butterflies,,
Teucrium canadense, American germander , Herbaceous perennial, Lamiaceae, North America, 4 to 9, 1.50 to 3.00 feet, 1.50 to 3.00 feet, June to September, Purplish-pink, Full sun to part shade, Medium, Medium," Herb, Naturalize", Showy,,,,,,
Thalictrum dasycarpum, meadow rue , Herbaceous perennial, Ranunculaceae, Alberta and Ontario south to Arizona and Ohio, 4 to 7, 3.00 to 5.00 feet, 3.00 to 4.00 feet, May to June, Purple white, Full sun to part shade, Medium, Medium,," Showy, Good Cut", Deer,,,,,
Thalictrum dioicum, early meadow-rue , Herbaceous perennial, Ranunculaceae, Central and eastern North America, 4 to 7, 1.00 to 2.00 feet, 1.00 to 2.00 feet, April to May, Green white with a purplish tinge, Full sun to part shade, Medium, Medium,," Showy, Good Cut", Deer,,,,,
Thalictrum pubescens, thalictrum , Herbaceous perennial, Ranunculaceae," Canada, United States", 3 to 8, 3.00 to 7.00 feet, 2.00 to 3.00 feet, June to August, White, Part shade to full shade, Medium to wet, Low, Naturalize," Showy, Good Cut"," Rabbit, Deer",,, Butterflies,,
Thalictrum thalictroides, rue anemone , Herbaceous perennial, Ranunculaceae, Eastern North America, 4 to 8, 0.50 to 0.75 feet, 0.50 to 0.75 feet, April to May," White, pale pink", Part shade, Medium, Medium,, Showy," Drought, Heavy Shade, Dry Soil",,,,,
Thermopsis villosa, Carolina lupine , Herbaceous perennial, Fabaceae, Southeastern United States, 4 to 9, 3.00 to 5.00 feet, 2.00 to 3.00 feet, July, Yellow, Full sun, Dry to medium, Low,, Showy," Drought, Dry Soil",,,,,
Tiarella cordifolia, foam flower , Herbaceous perennial, Saxifragaceae, Eastern North America, 4 to 9, 0.75 to 1.00 feet, 1.00 to 2.00 feet, May, White or pink, Part shade to full shade, Medium, Low," Ground Cover, Naturalize", Showy," Rabbit, Deer",, Good Fall,,,
Tilia americana, American linden , Tree, Malvaceae, Central and eastern North America, 2 to 8, 50.00 to 80.00 feet, 30.00 to 50.00 feet, June, Pale yellow, Full sun to part shade, Medium, Low," Shade Tree, Flowering Tree"," Showy, Fragrant"," Drought, Clay Soil",,," Birds, Butterflies", Showy,
Tillandsia usneoides, Spanish moss , Epiphyte, Bromeliaceae, Tropical Americas, 8 to 11, 3.00 to 20.00 feet, 1.00 to 3.00 feet, Rarely flowers, Pale blue or green, Full sun to part shade, Medium, Low, Naturalize, Insignificant,,," Colorful, Evergreen", Birds,, Winter Interest
Toxicodendron radicans, poison ivy , Deciduous shrub, Anacardiaceae," Southern Canada, United States to Guatemala, central China to Taiwan and Japan", 4 to 10, 1.00 to 3.00 feet, 1.00 to 3.00 feet, May to July, Greenish-white, Full sun to part shade, Medium, High, Naturalize, Insignificant, Drought, Where is this species invasive in the US?, Good Fall,,,
Tradescantia ernestiana, spiderwort , Herbaceous perennial, Commelinaceae, Central United States, 5 to 9, 1.00 to 2.00 feet, 1.00 to 2.00 feet, April to May, Rose-red to blue to deep purple, Part shade to full shade, Medium to wet, Medium, Naturalize, Showy,,,,,,
Tradescantia ohiensis, Ohio spiderwort , Herbaceous perennial, Commelinaceae, Eastern and central North America, 4 to 9, 2.00 to 3.00 feet, 1.50 to 2.50 feet, May to July, Deep blue to rose blue, Full sun to part shade, Dry to medium, Medium, Naturalize, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,,,,
Tradescantia subaspera, zigzag spiderwort , Herbaceous perennial, Commelinaceae, United States, 5 to 9, 2.00 to 2.50 feet, 2.00 to 2.50 feet, May to August," Pale to dark blue, occasionally white", Part shade to full shade, Medium, Medium, Naturalize, Showy,,,,,,
Tradescantia virginiana, spider lily , Herbaceous perennial, Commelinaceae, Eastern United States, 4 to 9, 1.50 to 3.00 feet, 1.00 to 1.50 feet, May to July," Blue to violet-blue, rarely rose or white", Part shade to full shade, Medium, Medium, Naturalize, Showy," Clay Soil, Wet Soil, Black Walnut",,,,,
Tridens strictus, longspike tridens , Ornamental grass, Poaceae, Central North America, 5 to 9, 2.00 to 4.00 feet, 1.50 to 2.50 feet, July to October, Brown tinged with purple, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil, Black Walnut, Air Pollution",,,,,
Trillium cuneatum, wood lily , Herbaceous perennial, Melanthiaceae, Southeastern United States, 5 to 8, 1.00 to 1.50 feet, 0.75 to 1.00 feet, April to May, Maroon to yellow to orange to reddish-green, Part shade to full shade, Medium, Low,," Showy, Fragrant", Heavy Shade,, Colorful,,,
Trillium flexipes, nodding wakerobin , Herbaceous perennial, Melanthiaceae, Northern United States, 4 to 7, 1.00 to 2.00 feet, 1.00 to 1.50 feet, April to May, White, Part shade to full shade, Medium, Medium,, Showy,,,,,,
Trillium grandiflorum, wood lily , Herbaceous perennial, Melanthiaceae, Eastern North America, 4 to 8, 1.00 to 1.50 feet, 0.75 to 1.00 feet, April to June, White, Part shade to full shade, Medium, Medium, Naturalize, Showy,,,,,,
Trillium luteum, wood lily , Herbaceous perennial, Melanthiaceae, Southeastern United States, 4 to 8, 1.00 to 1.50 feet, 1.00 to 1.50 feet, April to May, Yellow, Part shade to full shade, Medium, Medium,," Showy, Fragrant",,, Colorful,,,
Trillium recurvatum, wood lily , Herbaceous perennial, Melanthiaceae, Eastern United States, 4 to 9, 1.00 to 1.50 feet, 0.75 to 1.00 feet, April to May, Purple to brownish purple, Part shade to full shade, Medium, Medium,, Showy,,, Colorful,,,
Trillium sessile, wood lily , Herbaceous perennial, Melanthiaceae, Northeastern United States, 4 to 8, 0.50 to 1.00 feet, 0.50 to 1.00 feet, April to May, Maroon to brownish purple to dark red, Part shade to full shade, Medium, Medium,," Showy, Fragrant",,, Colorful,,,
Tripsacum dactyloides, eastern gamagrass , Ornamental grass, Poaceae, Eastern and central United States, 4 to 9, 4.00 to 8.00 feet, 4.00 to 6.00 feet, May to September, Purple (female) and Orange (male), Full sun to part shade, Medium, Low, Naturalize," Showy, Good Cut"," Black Walnut, Air Pollution",, Good Fall,,,
Tsuga canadensis, Canadian hemlock , Needled evergreen, Pinaceae, North America, 3 to 7, 40.00 to 70.00 feet, 25.00 to 35.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low, Hedge,," Deer, Heavy Shade, Black Walnut",, Evergreen,,, Winter Interest
Typha latifolia, broadleaf cattail , Herbaceous perennial, Typhaceae," North America, Europe, northern and central Asia, northern Africa", 3 to 10, 4.00 to 6.00 feet, 4.00 to 6.00 feet, June to July, Yellow (male); green (female), Full sun to part shade, Wet, Medium," Naturalize, Rain Garden", Showy,,,, Birds, Showy,
Ulmus alata, winged elm , Tree, Ulmaceae, Eastern and central North America, 6 to 9, 30.00 to 50.00 feet, 25.00 to 40.00 feet, March to April, Reddish green, Full sun, Medium, Low," Shade Tree, Street Tree", Insignificant, Air Pollution,,,,,
Ulmus americana, American elm , Tree, Ulmaceae, Eastern North America, 2 to 9, 60.00 to 80.00 feet, 40.00 to 70.00 feet, March to April, Reddish-green, Full sun, Medium, Medium," Shade Tree, Street Tree, Rain Garden", Insignificant," Drought, Black Walnut, Air Pollution",,,,,
Ulmus rubra, slippery elm , Tree, Ulmaceae, Central and southern United States, 3 to 9, 40.00 to 60.00 feet, 30.00 to 50.00 feet, March to April, Reddish-green, Full sun, Medium, Medium, Rain Garden, Insignificant," Drought, Black Walnut, Air Pollution",,,,,
Uvularia grandiflora, large-flowered bellwort , Herbaceous perennial, Colchicaceae, Eastern and central North America, 4 to 9, 1.50 to 2.00 feet, 1.00 to 1.50 feet, April to May, Yellow, Part shade to full shade, Medium, Low,," Showy, Good Cut"," Drought, Dry Soil",,,,,
Vaccinium corymbosum, highbush blueberry , Deciduous shrub, Ericaceae, North America, 5 to 8, 6.00 to 12.00 feet, 8.00 to 12.00 feet, May, White or pinkish, Full sun to part shade, Medium to wet, Medium, Hedge, Showy, Wet Soil,, Good Fall," Birds, Butterflies"," Showy, Edible",
Vaccinium stamineum, deerberry , Deciduous shrub, Ericaceae, Eastern North America, 5 to 9, 3.00 to 6.00 feet, 3.00 to 6.00 feet, April to June, Greenish white, Full sun to part shade, Medium, Low," Hedge, Naturalize", Showy, Drought,, Good Fall, Birds," Showy, Edible",
Verbena hastata, American blue vervain , Herbaceous perennial, Verbenaceae, Eastern North America, 3 to 8, 2.00 to 6.00 feet, 1.00 to 2.50 feet, July to September, Purplish-blue, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy, Wet Soil,,, Butterflies,,
Verbena stricta, hoary vervain , Herbaceous perennial, Verbenaceae, North America, 4 to 7, 2.00 to 4.00 feet, 1.50 to 2.00 feet, May to September, Blue-purple, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Verbesina alternifolia, wingstem , Herbaceous perennial, Asteraceae, Eastern North America, 4 to 8, 4.00 to 8.00 feet, 2.00 to 6.00 feet, August to October, Yellow, Full sun to part shade, Medium, Low, Naturalize, Showy,,,, Butterflies,,
Verbesina helianthoides, crown beard , Herbaceous perennial, Asteraceae, Southern and central United States, 5 to 8, 2.00 to 3.00 feet, 1.00 to 2.00 feet, June, Yellow, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Vernonia gigantea, giant ironweed , Herbaceous perennial, Asteraceae, Eastern United States, 5 to 8, 5.00 to 8.00 feet, 3.00 to 6.00 feet, August to September, Rose purple, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Wet Soil",,,,,
Vernonia missurica, ironweed , Herbaceous perennial, Asteraceae, Central North America, 4 to 9, 3.00 to 5.00 feet, 3.00 to 4.00 feet, July to August, Magenta purple, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Wet Soil",,,,,
Vernonia noveboracensis, New York ironweed , Herbaceous perennial, Asteraceae, Eastern and southeastern United States, 5 to 9, 4.00 to 6.00 feet, 3.00 to 4.00 feet, August to September, Purple, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Clay Soil, Wet Soil",,,,,
Veronicastrum virginicum, Culver's root , Herbaceous perennial, Plantaginaceae, Northeastern North America, 3 to 8, 4.00 to 7.00 feet, 2.00 to 4.00 feet, June to August, White to pale blue, Full sun, Medium to wet, Low, Rain Garden, Showy, Wet Soil,,, Butterflies,,
Viburnum acerifolium, mapleleaf viburnum , Deciduous shrub, Adoxaceae, Eastern North America, 3 to 8, 3.00 to 6.00 feet, 2.00 to 4.00 feet, June, White, Full sun to part shade, Medium, Low, Hedge, Showy, Black Walnut,, Good Fall," Birds, Butterflies",,
Viburnum dentatum, arrowwood viburnum , Deciduous shrub, Adoxaceae, Eastern North America, 2 to 8, 6.00 to 10.00 feet, 6.00 to 10.00 feet, May to June, White, Full sun to part shade, Medium, Low, Hedge, Showy," Clay Soil, Black Walnut",,," Birds, Butterflies", Showy,
Viburnum lentago, nannyberry viburnum , Deciduous shrub, Adoxaceae, Eastern North America, 2 to 8, 14.00 to 16.00 feet, 6.00 to 12.00 feet, May, White, Full sun to part shade, Medium, Low, Hedge, Showy, Air Pollution,,," Birds, Butterflies"," Showy, Edible",
Viburnum nudum, smooth witherod , Deciduous shrub, Adoxaceae, Eastern North America, 5 to 9, 5.00 to 12.00 feet, 5.00 to 12.00 feet, May to June, White, Full sun to part shade, Medium to wet, Low," Hedge, Rain Garden"," Showy, Fragrant", Wet Soil,, Good Fall, Butterflies," Showy, Edible",
Viburnum prunifolium, blackhaw viburnum , Deciduous shrub, Adoxaceae, Eastern and central North America, 3 to 9, 12.00 to 15.00 feet, 6.00 to 12.00 feet, May to June, White, Full sun to part shade, Dry to medium, Low, Hedge, Showy," Drought, Clay Soil, Black Walnut, Air Pollution",, Good Fall," Birds, Butterflies"," Showy, Edible",
Viburnum rufidulum, rusty blackhaw viburnum , Deciduous shrub, Adoxaceae, Southern United States, 5 to 9, 10.00 to 20.00 feet, 10.00 to 20.00 feet, April to May, White, Full sun to part shade, Dry to medium, Low, Hedge, Showy,,, Good Fall," Birds, Butterflies"," Showy, Edible",
Viola blanda, sweet white violet , Herbaceous perennial, Violaceae, North America, 2 to 7, 0.25 to 0.50 feet, 0.75 to 1.00 feet, April to May, White, Part shade, Medium to wet, Low," Ground Cover, Naturalize"," Showy, Fragrant", Deer,,, Butterflies,,
Viola canadensis, Canada violet , Herbaceous perennial, Violaceae, North America, 3 to 8, 1.00 to 1.50 feet, 1.00 to 1.50 feet, June to October," White, tinged purple", Full sun to part shade, Medium to wet, Medium," Ground Cover, Naturalize", Showy," Deer, Heavy Shade, Black Walnut",,,,,
Viola labradorica, Labrador violet , Herbaceous perennial, Violaceae," Northern United States, Greenland, Canada", 3 to 8, 0.25 to 0.50 feet, 0.25 to 0.50 feet, May, Violet to lavender, Full sun to part shade, Medium, Low," Ground Cover, Naturalize", Showy, Deer,, Colorful, Butterflies,,
Viola pedata, bird's foot violet , Herbaceous perennial, Violaceae, Eastern North America, 4 to 8, 0.25 to 0.50 feet, 0.25 to 0.50 feet, March to May, Lilac/purple, Full sun, Dry to medium, Medium, Naturalize, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Viola sororia, common blue violet , Herbaceous perennial, Violaceae, Eastern North America, 3 to 7, 0.50 to 0.75 feet, 0.50 to 0.75 feet, April to August," White, blue", Full sun to part shade, Medium, Medium," Ground Cover, Naturalize", Showy," Deer, Clay Soil, Black Walnut",,, Butterflies,,
Viola striata, striped cream violet , Herbaceous perennial, Violaceae, Eastern North America, 4 to 7, 0.75 to 1.00 feet, 0.75 to 1.00 feet, April to June, Pale violet/white, Part shade, Medium to wet, Medium," Ground Cover, Naturalize", Showy, Deer,,, Butterflies,,
Vitis aestivalis, summer grape , Herbaceous perennial, Vitaceae, United States, 5 to 8, 25.00 to 35.00 feet, 3.00 to 6.00 feet, May to June, Yellow-green, Full sun, Medium, High,, Showy," Rabbit, Deer",,, Birds," Showy, Edible",
Vitis labrusca, fox grape , Fruit, Vitaceae, Eastern United States, 5 to 8, 15.00 to 20.00 feet, 15.00 to 20.00 feet, May to June, Greenish, Full sun, Medium, High,," Fragrant, Insignificant"," Rabbit, Deer",,,," Showy, Edible",
Waldsteinia fragarioides, barren strawberry , Herbaceous perennial, Rosaceae, Eastern United States, 4 to 7, 0.25 to 0.50 feet, 0.50 to 1.00 feet, April to May, Yellow, Full sun to part shade, Medium, Low," Ground Cover, Naturalize", Showy," Deer, Clay Soil",,,,,
Wisteria frutescens, American wisteria , Vine, Fabaceae, Eastern United States, 5 to 9, 15.00 to 30.00 feet, 4.00 to 8.00 feet, April to May, Lilac-purple, Full sun, Medium, Medium,," Showy, Fragrant", Deer,,,,,
Xanthorhiza simplicissima, yellowroot , Deciduous shrub, Ranunculaceae, Eastern United States, 3 to 9, 0.50 to 2.50 feet, 6.00 to 10.00 feet, April to May, Dark purple-maroon, Part shade, Medium, Low," Naturalize, Rain Garden", Insignificant," Deer, Drought, Heavy Shade, Erosion, Clay Soil, Dry Soil, Wet Soil",, Good Fall,,,
Yucca aloifolia, Spanish bayonet , Broadleaf evergreen, Asparagaceae," Southeastern United States to Mexico, West Indies", 8 to 11, 15.00 to 20.00 feet, 2.00 to 4.00 feet, June to September, White with purple tinge, Full sun, Dry to medium, Low, Annual, Showy," Rabbit, Deer, Drought, Shallow-Rocky Soil",, Evergreen,,, Thorns
Yucca filamentosa, Adam's needle , Broadleaf evergreen, Asparagaceae, Central and eastern United States, 5 to 10, 4.00 to 8.00 feet, 2.00 to 3.00 feet, June to July, Creamy white, Full sun, Dry to medium, Low, Naturalize, Showy," Rabbit, Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Air Pollution",, Evergreen, Butterflies,,
Zanthoxylum americanum, toothache tree , Tree, Rutaceae, Eastern North America, 3 to 7, 15.00 to 20.00 feet, 10.00 to 15.00 feet, April, Yellowish - green, Full sun to part shade, Medium, Medium,," Fragrant, Insignificant"," Drought, Black Walnut",, Fragrant," Birds, Butterflies", Showy, Thorns
Zanthoxylum clava-herculis, southern prickly-ash , Tree, Rutaceae, Southeastern United States, 7 to 9, 15.00 to 30.00 feet, 10.00 to 25.00 feet, April to May, Greenish-yellow to white, Full sun to part shade, Medium, Low, Hedge," Showy, Fragrant",,, Fragrant, Butterflies,, Thorns
Zizia aptera, meadow zizia , Herbaceous perennial, Apiaceae, North America, 3 to 8, 1.00 to 3.00 feet, 1.00 to 1.50 feet, May, Yellow, Full sun to part shade, Medium, Medium, Naturalize," Showy, Good Cut",,,,,,
Zizia aurea, golden Alexander , Herbaceous perennial, Apiaceae, Eastern Canada to southern United States, 3 to 8, 1.50 to 3.00 feet, 1.50 to 2.00 feet, May to June, Yellow, Full sun to part shade, Medium, Medium," Naturalize, Rain Garden"," Showy, Good Cut",,,, Butterflies,,
