,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"fragaria virginiana
",4 – 9 What's My Zone?,,Fruit,Fragaria - Strawberries,"Full Sun, Partial Sun",Spring (Late)Summer (Early),"4"" – 7"" (10cm – 17cm)",1' – 2' (30cm – 60cm),Average,Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Fruit & Berries,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Deer,"Banks and Slopes, Beds and Borders, Ground Covers",Informal and Cottage,,Birds,,
"fraxinus americana
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17",Trees,Fraxinus - Ash Trees,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall",60' – 80' (18m – 24m),60' – 80' (18m – 24m),Average,Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Deer,,Prairie and Meadow,,Birds,,6 – 9 What's My Zone?
"fraxinus pennsylvanica
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, A2, A3",Trees,Fraxinus - Ash Trees,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall",50' – 70' (15m – 21m),35' – 50' (10.5m – 15m),Average,Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Colorado, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Dry Soil, Wet Soil",,Prairie and Meadow,,Birds,,4 – 9 What's My Zone?
"gaillardia pulchella
",2 – 11 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Annuals, Perennials",Gaillardia - Blanket Flowers,Full Sun,"Spring (Late)Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),"6"" – 1' (15cm – 30cm)","Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, New Hampshire, New York, Pennsylvania, Vermont, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil, Salt","Beds and Borders, Patio and Containers","Coastal Garden, Gravel and Rock Garden, Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,"Birds, Butterflies","12"" (30cm)",1 – 12 What's My Zone?
"galax urceolata
",5 – 8 What's My Zone?,,Perennials,,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter","6"" – 1' (15cm – 30cm)","10"" – 1' (25cm – 30cm)",Average,Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Evergreen,"United States, Midwest, Ohio, Northeast, Maryland, New York, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Banks and Slopes, Ground Covers, Underplanting Roses and Shrubs","Informal and Cottage, Prairie and Meadow",,,"12"" (30cm)",5 – 8 What's My Zone?
"gaultheria procumbens
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 14, 15, 16, 17",Shrubs,,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter","3"" – 6"" (7cm  – 15cm)",,Average,Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen","United States, Midwest, Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Dry Soil,"Banks and Slopes, Beds and Borders, Ground Covers, Patio and Containers","City and Courtyard, Gravel and Rock Garden, Informal and Cottage",,,"12"" (30cm)",1 – 8 What's My Zone?
"gaylussacia baccata
",4 – 7 What's My Zone?,,Shrubs,,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),4' – 5' (120cm – 150cm),Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil",Beds and Borders,Informal and Cottage,,"Birds, Butterflies","48"" – 60"" (120cm – 150cm)",
"gelsemium sempervirens
",7 – 10 What's My Zone?,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Climbers,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Winter",10' – 20' (3m – 6m),3' – 6' (90cm – 180cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Evergreen","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Deer,"Arbors, Pergolas, Trellises, Patio and Containers, Wall-Side Borders","City and Courtyard, Mediterranean Garden",,"Butterflies, Hummingbirds","36"" – 72"" (90cm – 180cm)",1 – 9 What's My Zone?
"geranium carolinianum
",2 – 11 What's My Zone?,,Annuals,Geranium - Cranesbills,Partial Sun,"Spring (Early,Mid,Late)Summer (Early,Mid)Fall",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),Low,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",
"geranium maculatum
",3 – 8 What's My Zone?,"1A, 1B, 2A, 2B, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Geranium - Cranesbills,"Full Sun, Partial Sun",Spring (Late)Summer (Early),1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Deer, Drought, Rabbit, Dry Soil","Beds and Borders, Ground Covers","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" (45cm)",1 – 8 What's My Zone?
"glandularia bipinnatifida
",5 – 8 What's My Zone?,,"Perennials, Shrubs",Verbena,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)Fall","6"" – 1' (15cm – 30cm)",1' – 3' (30cm – 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, California, Midwest, Indiana, Kansas, Missouri, Nebraska, South Dakota, Wisconsin, Northeast, Maryland, Rocky Mountains, Colorado, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, Tennessee, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought","Banks and Slopes, Beds and Borders, Edging, Ground Covers","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Birds,"24"" (60cm)",
"glandularia canadensis
",5 – 9 What's My Zone?,"4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Annuals, Perennials",Verbena,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)","6"" – 2' (15cm – 60cm)",1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Pennsylvania, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders, Edging, Ground Covers, Patio and Containers","City and Courtyard, Coastal Garden, Gravel and Rock Garden, Informal and Cottage",,Butterflies,"24"" (60cm)",
"gleditsia triacanthos
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20",Trees,,Full Sun,"Spring (Late)Summer (Early,Mid,Late)Fall",60' – 80' (18m – 24m),60' – 80' (18m – 24m),Average,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, New Mexico, Oklahoma, Texas","Clay Soil, Deer, Drought, Salt",,"Coastal Garden, Prairie and Meadow",,Butterflies,,1 – 7 What's My Zone?
"glyceria striata
",3 – 9 What's My Zone?,,"Ornamental Grasses, Perennials",,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",2' – 4' (60cm – 120cm),,"Average, High",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained",Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,Birds,,
"gordonia lasianthus
",7 – 9 What's My Zone?,"4, 5, 6, 7, 8, 9, 14, 15, 16, 17","Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",30' – 60' (9m – 18m),10' – 15' (3m – 4.5m),"Average, High",Low,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Evergreen","United States, Southeast, Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina",Wet Soil,"Bog Gardens, Ponds and Streams",Informal and Cottage,,Hummingbirds,,
"halesia carolina
",4 – 8 What's My Zone?,"2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21","Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",30' – 40' (9m – 12m),20' – 35' (6m – 10.5m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Southeast, Alabama, Florida, Georgia, Mississippi, South Carolina",,Beds and Borders,"Informal and Cottage, Traditional Garden",,,,4 – 8 What's My Zone?
"halesia diptera
",5 – 8 What's My Zone?,"2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21","Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)Fall",20' – 30' (6m – 9m),20' – 30' (6m – 9m),Average,Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, Texas",,Beds and Borders,Informal and Cottage,,Hummingbirds,,
"helenium amarum
",3 – 10 What's My Zone?,,Annuals,Helenium - Sneezeweeds,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),"10"" – 2' (25cm – 60cm)","Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Massachusetts, Maryland, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,"15"" (37cm)",
"helenium autumnale
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Helenium - Sneezeweeds,Full Sun,"Summer (Mid,Late)Fall",3' – 5' (90cm – 150cm),2' – 3' (60cm – 90cm),"Average, High",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive","Cut Flowers, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Clay Soil, Deer, Rabbit, Wet Soil","Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","36"" (90cm)",
"helenium flexuosum
",5 – 9 What's My Zone?,,Perennials,Helenium - Sneezeweeds,Full Sun,"Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),1' – 2' (30cm – 60cm),"Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Wet Soil","Beds and Borders, Ponds and Streams","Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" (60cm)",
"helianthus angustifolius
",5 – 10 What's My Zone?,,Perennials,Helianthus - Sunflowers,"Full Sun, Partial Sun",Fall,5' – 8' (150cm – 240cm),2' – 4' (60cm – 120cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Salt, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens","Coastal Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","48"" – 72""  (120cm – 180cm)",
"helianthus annuus
",2 – 11 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Annuals,Helianthus - Sunflowers,Full Sun,"Summer (Mid,Late)",3' – 10' (90cm – 3m),1' – 3' (30cm – 90cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil",Beds and Borders,"Cutting Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","30"" – 36"" (75cm – 90cm)",1 – 12 What's My Zone?
"helianthus debilis
",8 – 11 What's My Zone?,,Perennials,Helianthus - Sunflowers,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",1' – 2' (30cm – 60cm),2' – 4' (60cm – 120cm),Low,Low,Sand,"Acid, Neutral",Well-Drained,"Cut Flowers, Showy, Semi-Evergreen","United States, Midwest, Michigan, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, West Virginia, Southwest, Texas","Drought, Salt","Ground Covers, Patio and Containers","Coastal Garden, Informal and Cottage",,"Birds, Butterflies","36"" – 48"" (90cm – 120cm)",
