,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Clematis virginiana,3 to 9,,Climbers,Clematis,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",10' to 20' (3m to 6m),3' to 6' (90cm to 180cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Deer,"Arbors, Pergolas, Trellises, Walls and Fences",Informal and Cottage,,"Butterflies, Hummingbirds",,
Clethra acuminata,6 to 7,,Shrubs,Clethra,"Full Sun, Partial Sun, Shade","Spring (Late)-Summer (Early,Mid,Late)-FallWinter",8' to 20' (240cm to 6m),4' to 6' (120cm to 180cm),Average,Low,"Clay, Loam, Sand",Acid,Moist but Well-Drained,"Fragrant, Showy","United States, Northeast, Pennsylvania, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","60"" to 72"" (150cm to 180cm)",
Clethra alnifolia,3 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, A2, A3",Shrubs,Clethra,"Full Sun, Partial Sun, Shade","Summer (Mid,Late)-Fall",3' to 8' (90cm to 240cm),4' to 6' (120cm  to 180cm),Average,Low,"Clay, Loam, Sand",Acid,Moist but Well-Drained,"Fragrant, Showy","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas","Clay Soil, Deer, Salt, Wet Soil","Beds and Borders, Ponds and Streams, Rain Gardens","Coastal Garden, Informal and Cottage, Prairie and Meadow, Traditional Garden",,"Birds, Butterflies, Hummingbirds","48"" to 72"" (120cm to 180cm)",1 to 9
Clitoria mariana,5 to 9,,"Climbers, Perennials",,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-",3' to 4' (90cm to 120cm),2' to 3' (60cm to 90cm),"Low, Average",Low,Sand,"Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Missouri, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, Oklahoma, Texas",Dry Soil,"Arbors, Pergolas, Trellises, Ground Covers",Informal and Cottage,,Birds,,
Conoclinium coelestinum,5 to 10,,Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",1' to 3' (30cm to 90cm),1' to 3' (30cm to 90cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Kansas, Michigan, Missouri, Nebraska, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Ground Covers, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
Conradina canescens,8 to 9,,Shrubs,,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 5' (60cm to 150cm),2' to 4' (60cm to 120cm),Low,Low,Sand,Neutral,Well-Drained,"Fragrant, Evergreen","United States, Southeast, Alabama, Florida, Mississippi","Drought, Dry Soil, Salt","Beds and Borders, Ground Covers",Coastal Garden,,,"36"" to 48"" (90cm to 120cm)",
Coreopsis auriculata,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Coreopsis,Full Sun,"Spring (Early,Mid,Late)-Summer (Early)-",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Southeast, Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Dry Soil","Beds and Borders, Edging, Ground Covers","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" (45cm)",1 to 9
Coreopsis grandiflora,4 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Perennials,Coreopsis,Full Sun,"Spring (Late)-Summer (Early,Mid,Late)-",1' to 3' (30cm to 90cm),1' to 3' (30cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Maine, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Deer, Drought, Rabbit, Dry Soil, Rocky Soil",,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"12"" to 36"" (30cm to 90cm)",1 to 11
Coreopsis lanceolata,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Perennials,Coreopsis,Full Sun,"Spring (Late)-Summer (Early,Mid)-",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Low,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Oregon, Rocky Mountains, Colorado, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",,"Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" (45cm)",1 to 9
Coreopsis palmata,3 to 8,,Perennials,Coreopsis,Full Sun,"Spring (Late)-Summer (Early,Mid)-",1' to 3' (30cm to 90cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin, Southeast, Alabama, Arkansas, Louisiana, Southwest, Oklahoma","Deer, Drought, Dry Soil, Rocky Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" (45cm)",
Coreopsis pubescens,6 to 9,,Perennials,Coreopsis,Full Sun,"Summer (Early,Mid,Late)-",2' to 4' (60cm to 120cm),1' to 3' (30cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Kansas, Missouri, Northeast, Connecticut, Massachusetts, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" to 30"" (45cm to 75cm)",
Coreopsis tinctoria,2 to 11,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Annuals,Coreopsis,Full Sun,"Summer (Early,Mid,Late)-Fall",2' to 4' (60cm to 120cm),1' to 2' (30cm to 60cm),Low,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" (45cm)",1 to 12
Coreopsis tripteris,3 to 8,,Perennials,Coreopsis,Full Sun,"Summer (Mid,Late)-Fall",4' to 8' (120cm to 240cm),4' to 8' (120cm to 240cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Massachusetts, Maryland, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","72"" to 96"" (180cm to 240cm)",
Coreopsis verticillata,3 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Coreopsis,Full Sun,"Summer (Mid,Late)-Fall",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Northeast, Connecticut, Massachusetts, Maryland, New Jersey, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" to 24"" (45cm to 60cm)",1 to 9
Cornus alternifolia,4 to 8,,"Shrubs, Trees",Cornus - Dogwoods,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-Fall",15' to 25' (4.5m to 7.5m),20' to 30' (6m to 9m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Deer,"Beds and Borders, Rain Gardens","Informal and Cottage, Traditional Garden",,"Birds, Butterflies",,1 to 8
Cornus amomum,5 to 8,,Shrubs,Cornus - Dogwoods,"Full Sun, Partial Sun, Shade","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",6' to 12' (180cm to 3.6m),6' to 12' (180cm  to 3.6m),Average,"Low, Average","Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Missouri, Ohio, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Wet Soil","Banks and Slopes, Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,Birds,"120"" to 144"" (300cm to 360cm)",
Cornus drummondii,5 to 8,,"Shrubs, Trees",Cornus - Dogwoods,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",6' to 15' (180cm to 4.5m),6' to 15' (180cm to 4.5m),"Average, High",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, New York, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, Tennessee, Southwest, Oklahoma, Texas",Deer,"Bog Gardens, Hedges and Screens, Ponds and Streams","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,
Cornus florida,5 to 9,"2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16","Shrubs, Trees",Cornus - Dogwoods,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",15' to 30' (4.5m to 9m),15' to 30' (4.5m to 9m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Kansas, Minnesota, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer",,"Informal and Cottage, Prairie and Meadow, Traditional Garden",,"Birds, Butterflies",,3 to 8
Cornus foemina,6 to 10,,"Shrubs, Trees",Cornus - Dogwoods,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",10' to 25' (3m to 7.5m),10' to 15' (3m to 4.5m),"Average, High",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Showy, Fruit & Berries","United States, Midwest, Indiana, Missouri, Northeast, Delaware, Maryland, New Jersey, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Patio and Containers, Ponds and Streams",Informal and Cottage,,"Birds, Butterflies",,
Corylus americana,4 to 9,,Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",10' to 15' (3m to 4.5m),8' to 12' (240cm to 3.6m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Dry Soil",Hedges and Screens,"Informal and Cottage, Prairie and Meadow",,Birds,,
Corylus cornuta,4 to 8,"2, 3, 4, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20",Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",4' to 12' (120cm to 3.6m),4' to 12' (120cm to 3.6m),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, California, Midwest, Illinois, Iowa, Michigan, Minnesota, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Wyoming, Southeast, Alabama, Georgia, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Dry Soil,,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,
Cotinus obovatus,4 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Cotinus - Smoke Trees,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",20' to 30' (6m to 9m),20' to 30' (6m to 9m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Missouri, Southeast, Alabama, Arkansas, Georgia, Kentucky, Tennessee, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil",Beds and Borders,"City and Courtyard, Informal and Cottage, Prairie and Meadow",,Butterflies,,1 to 8
Crataegus crus galli,4 to 7,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17",Trees,Crataegus - Hawthorns,Full Sun,Spring (Late)-FallWinter,25' to 35' (7.5m to 10.5m),25' to 35' (7.5m to 10.5m),Average,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil",Hedges and Screens,"City and Courtyard, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,1 to 7
Crataegus phaenopyrum,4 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17",Trees,Crataegus - Hawthorns,Full Sun,"Spring (Mid,Late)-Summer (Early)-Fall",20' to 25' (6m to 7.5m),18' to 20' (5.4m to 6m),"Low, Average",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Northeast, Delaware, Maine, Massachusetts, Maryland, New Jersey, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Dry Soil,,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,1 to 8
Crinum americanum,8 to 10,,"Aquatic Plants, Bulbs, Perennials",Crinum,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),"Average, High",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral","Moisture Retentive, Poorly Drained","Fragrant, Showy, Evergreen","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Southwest, Texas","Deer, Rabbit, Wet Soil","Beds and Borders, Patio and Containers, Ponds and Streams, Wall-Side Borders, Water Gardens","City and Courtyard, Informal and Cottage, Mediterranean Garden",,,,8 to 11
Cyperus haspan,9 to 11,,"Aquatic Plants, Ornamental Grasses, Perennials",Cyperus,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),High,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Poorly Drained,"Showy, Evergreen","United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Wet Soil,"Bog Gardens, Patio and Containers, Ponds and Streams, Rain Gardens, Water Gardens",Mediterranean Garden,,,"24"" (60cm)",
Cypripedium acaule,3 to 7,,"Orchids, Perennials",Cypripedium - Laddy Slippers,Partial Sun,"Spring (Mid,Late)-Summer (Early,Mid)-",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,,"Informal and Cottage, Prairie and Meadow",,,"24"" (60cm)",1 to 7
