,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product,"Height at 20 Years, Maximum (feet)",Lifespan,Fuelwood Product
CYCO,Summer and Fall,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Rapid,1.0,No,No,No,None,No,Semi-Erect,None,Yes,No,Yes,Medium,Medium,No,Low,Low,Low,160,None,Medium,6.5,5.0,11000,4800,50,30,8,None,Intolerant,37,Late Summer,No Known Source,Medium,Fall,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Short,
CYER2,Summer and Fall,Slow,None,Medium,No,No,No,Green,No,Dark Green,Moderate,Porous,Coarse,White,No,Bunch,Rapid,2.5,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Medium,No,Medium,Low,Low,90,None,Medium,6.5,5.0,11000,4800,50,14,10,None,Intolerant,37,Mid Summer,Contracting Only,High,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Short,
CYFL,Summer and Fall,Slow,None,Medium,No,No,No,Red,No,Green,Porous,Porous,Fine,Black,No,Bunch,Rapid,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Medium,No,Low,Medium,Low,90,None,Medium,7.0,5.0,18000,11000,55,24,8,None,Intolerant,42,Late Summer,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,,
CYHA,Spring,Slow,None,High,No,No,Yes,Brown,No,Green,Moderate,Porous,Medium,White,Yes,Bunch,Moderate,3.2,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Medium,230,None,Medium,7.5,4.5,4800,3500,60,35,16,High,Intolerant,7,Late Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Slow,Medium,No,None,No,No,No,No,No,No,,Medium,No,No,,No,No,,Long,
CYLA3,Summer and Fall,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.1,No,No,No,None,No,Erect,None,Yes,No,Yes,Low,Medium,No,Low,Medium,High,165,None,Low,7.0,5.0,4800,1700,55,32,12,None,Intolerant,7,Late Summer,No Known Source,Medium,Summer,Fall,Yes,Yes,No,No,Yes,No,No,No,Yes,No,,Slow,Low,No,Slow,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
CYOD,Summer and Fall,Slow,None,Medium,No,No,No,Brown,No,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Medium,No,Low,Medium,None,80,None,Medium,8.3,5.0,4800,3450,55,18,8,Medium,Intolerant,42,Late Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Moderate,High,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Short,
CYPO,Spring and Fall,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,1.6,No,No,No,None,No,Semi-Erect,None,Yes,Yes,Yes,Medium,Low,No,Low,Low,None,100,None,Medium,6.5,4.5,4800,3450,55,32,8,Low,Intolerant,47,Mid Summer,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Moderate,Low,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Short,
CYST,Spring,Slow,None,High,No,No,Yes,Brown,No,Green,Moderate,Porous,Fine,Red,Yes,Bunch,Moderate,3.2,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Medium,100,None,Medium,7.0,6.4,4800,3450,60,16,16,None,Intolerant,-33,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,Slow,No,No,No,No,No,No,,Medium,No,No,,No,No,,Long,
CYRA,Spring and Summer,,None,High,No,Yes,No,Yellow,Yes,Yellow-Green,Moderate,Porous,Coarse,Brown,No,Thicket Forming,Moderate,30.0,No,Yes,No,None,Yes,Erect,,Yes,Yes,Yes,High,Low,Yes,Low,High,Medium,218,,,6.8,4.9,1280,320,70,40,24,Low,Tolerant,-6,Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,Yes,Yes,No,No,No,,Rapid,Medium,No,Moderate,No,No,No,No,No,No,High,,No,No,Low,No,No,20,Short,Low
DACO,Spring,Slow,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.4,No,No,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,No,Medium,Low,High,90,None,Medium,7.0,4.8,,,55,32,10,None,Tolerant,-33,Late Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,450000,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
DEVE,Summer and Fall,,None,High,No,No,No,Red,Yes,Green,Dense,Moderate,Coarse,Brown,No,Colonizing,Rapid,8.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,High,Medium,No,None,Medium,High,145,None,High,8.6,4.9,1700,1200,60,30,10,None,Intermediate,-23,Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Slow,Medium,No,Rapid,No,No,No,No,No,No,,,No,No,,No,No,,Long,
DEFL,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,2.6,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Low,High,80,None,Medium,6.8,4.8,,,55,32,8,None,Tolerant,-38,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,668000,Slow,High,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Short,
DEIL,Spring and Summer,Moderate,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Multiple Stem,Moderate,3.0,No,No,No,Low,No,Erect,None,Yes,Yes,Yes,None,Medium,No,Medium,Medium,Low,130,None,Medium,8.0,5.0,,,24,16,12,None,Intolerant,-18,Early Summer,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,85000,Slow,High,No,None,No,No,No,No,No,No,High,High,No,No,High,No,No,,Long,
DEPA6,Spring and Summer,Slow,Low,Low,No,Yes,No,Purple,Yes,Green,Moderate,Porous,Medium,Brown,Yes,Single Crown,Moderate,3.0,No,No,No,Low,No,Erect,None,No,Yes,Yes,None,None,No,Medium,Low,None,180,None,Low,7.0,6.0,,,90,45,6,None,Intermediate,-13,Late Summer,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,200000,Rapid,High,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Moderate,
DEPE80,Summer,Moderate,None,Medium,No,No,Yes,White,No,Green,Moderate,Moderate,Fine,Brown,No,Colonizing,Rapid,4.0,No,No,No,Low,No,Erect,None,Yes,Yes,Yes,Medium,Low,No,Low,Low,High,90,None,Medium,7.0,5.6,,,60,20,12,Low,Intermediate,-33,Summer,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,200000,Moderate,High,No,Rapid,No,No,No,No,No,No,Medium,Low,No,No,Medium,No,No,,Short,
DETO,Spring and Summer,,Low,Low,No,No,No,Blue,Yes,Green,Moderate,,Medium,Brown,Yes,Single Crown,Rapid,9.0,No,No,No,Low,No,Erect,None,Yes,Yes,Yes,None,Low,No,High,Low,Low,120,None,Low,7.2,5.0,,,80,20,6,None,Intolerant,17,Summer,No Known Source,High,Fall,Winter,Yes,No,No,No,No,No,Yes,No,No,No,200640,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
DIAC,Summer,Slow,None,,No,No,No,Green,No,Gray-Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,1.6,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Low,No,High,Low,Low,200,None,Low,6.5,4.0,,,60,30,4,None,Intermediate,2,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,381000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DICL,Spring and Summer,Slow,None,Medium,No,No,No,,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,No,None,No,Semi-Erect,None,Yes,Yes,Yes,Low,Low,Yes,High,Low,High,130,None,Low,7.5,4.0,,,65,32,16,Low,Intolerant,-33,Early Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,350000,Slow,Low,No,None,No,No,No,No,No,No,High,Low,No,No,Low,No,No,,Long,
DICO2,Summer,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,4.9,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Low,None,120,None,Low,6.5,4.0,,,60,30,4,None,Intermediate,-28,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,210000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DICL,Spring and Summer,Slow,None,Medium,No,No,No,,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,No,None,No,Semi-Erect,None,Yes,Yes,Yes,Low,Low,Yes,High,Low,High,130,None,Low,7.5,4.0,,,65,32,16,Low,Intolerant,-33,Early Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,350000,Slow,Low,No,None,No,No,No,No,No,No,High,Low,No,No,Low,No,No,,Long,
DICO2,Summer,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,4.9,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Low,None,120,None,Low,6.5,4.0,,,60,30,4,None,Intermediate,-28,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,210000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DILA8,Summer,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,3.3,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Low,None,120,None,Low,6.5,4.0,,,60,20,4,None,Intermediate,-43,Spring,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,210000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DIOV,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,1.7,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,High,Low,None,160,None,Low,6.5,4.0,,,50,35,4,None,Tolerant,-13,Spring,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,320000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DISC2,Summer,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,2.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,None,Medium,No,Low,Low,None,200,None,Medium,7.0,4.0,,,65,40,4,None,Intermediate,-3,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,266700,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DISC2,Summer,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,2.5,No,No,No,None,No,Erect,None,Yes,Yes,Yes,None,Medium,No,Low,Low,None,200,None,Medium,7.0,4.0,,,65,40,4,None,Intermediate,-3,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,266700,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DISC3,Summer,Slow,None,,No,No,No,Green,No,Gray-Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,4.3,No,No,No,None,No,Erect,None,Yes,No,Yes,None,High,No,Low,Medium,None,120,None,Medium,7.5,4.5,,,55,30,6,None,Tolerant,-38,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,380000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DICI,Summer and Fall,Moderate,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Rapid,0.9,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,None,190,None,Medium,7.0,5.0,,,50,35,5,None,Intolerant,2,Late Summer,Routinely Available,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Rapid,Low,No,Rapid,No,No,Yes,No,No,No,Medium,High,No,No,High,No,No,,,
DIVI5,Spring and Summer,,None,High,Yes,Yes,Yes,Yellow,No,Dark Green,Moderate,Porous,Medium,Orange,Yes,Single Crown,Slow,55.0,No,No,No,None,Yes,Irregular,None,Yes,Yes,Yes,None,None,Yes,Medium,Medium,Medium,200,None,Medium,7.5,4.7,700,300,80,30,36,Low,Tolerant,-21,Late Spring,Routinely Available,High,Summer,Winter,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,1200,Slow,High,No,Moderate,Yes,No,No,No,No,Yes,Medium,Low,Yes,No,,No,No,25,Long,High
DISP,"Spring, Summer, Fall",Slow,None,High,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Slow,1.1,No,No,Yes,None,No,Semi-Erect,None,No,Yes,Yes,High,High,No,Medium,Medium,High,80,None,Medium,10.0,6.4,43000,11000,70,5,2,High,Intolerant,-35,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,519000,Slow,Low,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
DIFR6,Summer and Fall,,None,High,No,Yes,No,Green,No,Green,Moderate,Moderate,Medium,Brown,No,Multiple Stem,Moderate,12.0,No,Yes,No,None,No,Erect,Severe,Yes,No,No,Medium,Low,Yes,Medium,Medium,Medium,207,Low,Low,6.0,4.0,4800,1200,68,33,24,None,Tolerant,-15,Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,3600,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,18,Short,Medium
DOME,Spring,Slow,None,,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Single Stem,Moderate,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,None,High,No,Low,Medium,None,120,None,Medium,7.5,4.5,,,55,30,12,None,Tolerant,-38,Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,320000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DICI,Summer and Fall,Moderate,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Rapid,0.9,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,None,190,None,Medium,7.0,5.0,,,50,35,5,None,Intolerant,2,Late Summer,Routinely Available,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Rapid,Low,No,Rapid,No,No,Yes,No,No,No,Medium,High,No,No,High,No,No,,,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DICI,Summer and Fall,Moderate,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Rapid,0.9,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,None,190,None,Medium,7.0,5.0,,,50,35,5,None,Intolerant,2,Late Summer,Routinely Available,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Rapid,Low,No,Rapid,No,No,Yes,No,No,No,Medium,High,No,No,High,No,No,,,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DICI,Summer and Fall,Moderate,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Rapid,0.9,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,None,190,None,Medium,7.0,5.0,,,50,35,5,None,Intolerant,2,Late Summer,Routinely Available,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Rapid,Low,No,Rapid,No,No,Yes,No,No,No,Medium,High,No,No,High,No,No,,,
DIVI5,Spring and Summer,,None,High,Yes,Yes,Yes,Yellow,No,Dark Green,Moderate,Porous,Medium,Orange,Yes,Single Crown,Slow,55.0,No,No,No,None,Yes,Irregular,None,Yes,Yes,Yes,None,None,Yes,Medium,Medium,Medium,200,None,Medium,7.5,4.7,700,300,80,30,36,Low,Tolerant,-21,Late Spring,Routinely Available,High,Summer,Winter,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,1200,Slow,High,No,Moderate,Yes,No,No,No,No,Yes,Medium,Low,Yes,No,,No,No,25,Long,High
DISP,"Spring, Summer, Fall",Slow,None,High,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Slow,1.1,No,No,Yes,None,No,Semi-Erect,None,No,Yes,Yes,High,High,No,Medium,Medium,High,80,None,Medium,10.0,6.4,43000,11000,70,5,2,High,Intolerant,-35,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,519000,Slow,Low,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Long,
DIFR6,Summer and Fall,,None,High,No,Yes,No,Green,No,Green,Moderate,Moderate,Medium,Brown,No,Multiple Stem,Moderate,12.0,No,Yes,No,None,No,Erect,Severe,Yes,No,No,Medium,Low,Yes,Medium,Medium,Medium,207,Low,Low,6.0,4.0,4800,1200,68,33,24,None,Tolerant,-15,Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,3600,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,18,Short,Medium
DOME,Spring,Slow,None,,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Single Stem,Moderate,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,None,High,No,Low,Medium,None,120,None,Medium,7.5,4.5,,,55,30,12,None,Tolerant,-38,Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,320000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DRAM,Spring and Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Black,Yes,Single Stem,Rapid,2.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,Medium,No,High,Low,None,120,Low,High,7.5,6.0,,,60,10,6,None,Intolerant,32,Late Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,1600000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Medium,No,No,,,
DRCR4,Spring and Summer,Slow,None,,No,No,No,Brown,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,1.6,No,No,No,None,No,Erect,None,No,Yes,Yes,High,High,No,Low,Low,None,120,None,High,6.5,3.5,,,55,15,12,None,Tolerant,-33,Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,,Slow,Medium,No,Moderate,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DICI,Summer and Fall,Moderate,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Rapid,0.9,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,None,190,None,Medium,7.0,5.0,,,50,35,5,None,Intolerant,2,Late Summer,Routinely Available,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Rapid,Low,No,Rapid,No,No,Yes,No,No,No,Medium,High,No,No,High,No,No,,,
DILO,Spring,,None,High,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,High,Medium,High,135,Medium,Low,7.0,4.8,2700,1100,50,32,16,None,Intermediate,-23,Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,,No,No,2,Long,
DICI,Summer and Fall,Moderate,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Rapid,0.9,No,No,No,None,No,Decumbent,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,None,190,None,Medium,7.0,5.0,,,50,35,5,None,Intolerant,2,Late Summer,Routinely Available,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Rapid,Low,No,Rapid,No,No,Yes,No,No,No,Medium,High,No,No,High,No,No,,,
DIVI5,Spring and Summer,,None,High,Yes,Yes,Yes,Yellow,No,Dark Green,Moderate,Porous,Medium,Orange,Yes,Single Crown,Slow,55.0,No,No,No,None,Yes,Irregular,None,Yes,Yes,Yes,None,None,Yes,Medium,Medium,Medium,200,None,Medium,7.5,4.7,700,300,80,30,36,Low,Tolerant,-21,Late Spring,Routinely Available,High,Summer,Winter,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,1200,Slow,High,No,Moderate,Yes,No,No,No,No,Yes,Medium,Low,Yes,No,,No,No,25,Long,High
DIFR6,Summer and Fall,,None,High,No,Yes,No,Green,No,Green,Moderate,Moderate,Medium,Brown,No,Multiple Stem,Moderate,12.0,No,Yes,No,None,No,Erect,Severe,Yes,No,No,Medium,Low,Yes,Medium,Medium,Medium,207,Low,Low,6.0,4.0,4800,1200,68,33,24,None,Tolerant,-15,Summer,No Known Source,Low,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,3600,Slow,Medium,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,18,Short,Medium
DOME,Spring,Slow,None,,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Single Stem,Moderate,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,None,High,No,Low,Medium,None,120,None,Medium,7.5,4.5,,,55,30,12,None,Tolerant,-38,Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,320000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Short,
DRAM,Spring and Summer,,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Black,Yes,Single Stem,Rapid,2.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,Medium,No,High,Low,None,120,Low,High,7.5,6.0,,,60,10,6,None,Intolerant,32,Late Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,1600000,Rapid,High,No,None,No,No,No,No,No,No,Low,Low,No,No,Medium,No,No,,,
